BSIM4v5:,Berkeley,Short,Channel,IGFET,Model-4
device,m.xmn.m0
model,nfet_03v3.13
l,1.12e-06
w,1.12e-05
m,1
nf,1
sa,0
sb,0
sd,0
sca,0
scb,0
scc,0
sc,0
min,0
ad,5.04e-13
as,5.04e-13
pd,5.96e-06
ps,5.96e-06
nrd,0.0642857
nrs,0.0642857
off,0
rbdb,50
rbsb,50
rbpb,50
rbps,50
rbpd,50
delvto,0
mulu0,1
xgw,0
ngcon,1
trnqsmod,0
acnqsmod,0
rbodymod,0
rgatemod,0
geomod,0
rgeomod,0
gmbs,0.000666219
gm,0.0013465
gds,1.27278e-05
vdsat,1.9049
vth,0.686033
id,0.00260481
ibd,-3.29883e-12
ibs,-1.17216e-15
gbd,1e-12
gbs,1e-12
isub,4.3489e-09
igidl,0
igisl,0
igs,0
igd,0
igb,0
igcs,0
igcd,0
vbs,-0.00117216
vgs,3.29883
vds,3.29766
cgg,3.76971e-14
cgs,-3.74944e-14
cgd,-1.12136e-17
cbg,-4.72922e-15
cbd,-4.47444e-18
cbs,-8.95136e-15
cdg,-1.31932e-14
cdd,1.24984e-17
cds,1.85806e-14
csg,-1.97747e-14
csd,3.18965e-18
css,2.78651e-14
cgb,-1.91575e-16
cdb,-5.39982e-15
csb,-8.09365e-15
cbb,1.36851e-14
capbd,4.18657e-15
capbs,7.20768e-15
qg,1.3269e-13
qb,-4.75617e-14
qd,-3.40565e-14
qs,-5.10719e-14
qinv,8.87871e-14
qdef,0
gcrg,0
gtau,0

