BSIM4v5:,Berkeley,Short,Channel,IGFET,Model-4
device,m.xmp.m0
model,pfet_03v3.9
l,5.6e-07
w,2.8e-06
m,1
nf,1
sa,0
sb,0
sd,0
sca,0
scb,0
scc,0
sc,0
min,0
ad,5.04e-13
as,5.04e-13
pd,5.96e-06
ps,5.96e-06
nrd,0.0642857
nrs,0.0642857
off,0
rbdb,50
rbsb,50
rbpb,50
rbps,50
rbpd,50
delvto,0
mulu0,1
xgw,0
ngcon,1
trnqsmod,0
acnqsmod,0
rbodymod,0
rgatemod,0
geomod,0
rgeomod,0
gmbs,0.000106198
gm,0.000217881
gds,6.84817e-06
vdsat,1.96615
vth,0.784731
id,0.000356564
ibd,-3.30728e-12
ibs,-1.60479e-16
gbd,1.00825e-12
gbs,1.00016e-12
isub,1.42175e-13
igidl,0
igisl,0
igs,0
igd,0
igb,0
igcs,0
igcd,0
vbs,-0.000160454
vgs,3.29984
vds,3.29968
cgg,5.22984e-15
cgs,-5.00853e-15
cgd,5.75643e-19
cbg,-8.80977e-16
cbd,3.91887e-20
cbs,-1.41423e-15
cdg,-1.74008e-15
cdd,3.38357e-19
cds,2.56934e-15
csg,-2.60879e-15
csd,-9.53189e-19
css,3.85342e-15
cgb,-2.21888e-16
cdb,-8.29603e-16
csb,-1.24368e-15
cbb,2.29517e-15
capbd,1.6158e-15
capbs,2.29822e-15
qg,1.91013e-14
qb,-7.58563e-15
qd,-4.60682e-15
qs,-6.90887e-15
qinv,1.11957e-14
qdef,-0
gcrg,0
gtau,0

